Comment,Designator,Footprint,LCSC Part Number
47n,"C1,C4",0603,C1622
100p,C2,0603,C14858
1u,"C3,C5",0603,C15849
100u,"C6,C10,C12",5x5.4,C22469986
100n,"C7,C8,C9,C11,C14,C15,C16",0603,C14663
10u,C13,5x5.4,C189262
1N4148,"D1,D2",SOD-123,C81598
1N5819,D4,SOD-323,C191023
2M,"R1,R2,R8,R9",0603,C326730
1K,"R3,R17,R18",0603,C110776
24K,"R4,R6,R10,R11,R15,R16,R19",0603,C326729
4K7,"R5,R13,R14",0603,C513565
100K,"R7,R12",0603,C122538
75R,R20,0603,C4275
TL074,U1,SOIC-14,C12594
TL072,U2,SOIC-8,C6961
L78L05,U3,SOT-89-3,C42738
ICL7660SIBAZ,U4,SOIC-8,C7535
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
